Dataset,Total Agents,Unique Countries,Email %,Phone %,Website %,Address %
Essex,360,100,51.4%,90.6%,100.0%,N/A
Goldsmiths,261,63,76.2%,78.5%,100.0%,29.1%
SHU,3399,103,12.1%,9.1%,100.0%,45.5%
